name,formatted_address,rating,delivery,dine_in,reservable,serves_beer,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,user_ratings_total,vicinity,wheelchair_accessible_entrance,Latitude,Longitude,Postal Code,Neighbourhood,District
Ad Fundum Bar,"C. de Riego, 15, 08014 Barcelona, Spain",4.2,0,1,1,1,0,1,1,0,1,1,437.0,"Carrer de Riego, 15, Barcelona",True,41.3761406,2.1383095,08014,La Bordeta - Les Corts,Sants - Montjuic
Frenzy! Restaurant,"Carrer del Comte d'Urgell, 60, 08011 Barcelona, Spain",4.6,1,1,1,1,0,1,1,0,1,1,47.0,"Carrer del Comte d'Urgell, 60, Barcelona",True,41.3818523,2.1592114,08011,Esquerra Eixample,Eixample
OMA Bistró,"C/ del Consell de Cent, 227, 08011 Barcelona, Spain",4.4,1,1,0,1,1,0,1,1,1,1,1608.0,"Carrer del Consell de Cent, 227, Barcelona",True,41.38553520000001,2.158121200000001,08011,Esquerra Eixample,Eixample
Restaurant Jiaozi/Gyoza Q 老邱饺子,"ES Barcelona Barcelona, C/ del Comte Borrell, 171, 08015 Barcelona, Spain",4.4,1,1,1,1,1,1,1,1,1,1,495.0,"ES Barcelona Barcelona, Carrer del Comte Borrell, 171",True,41.3835269,2.1543078,08015,Nova Esquerra Exiample - Sant Antoni,Eixample
Cachaca Restaurant,"Carrer d'Ataülf, 5, 08002 Barcelona, Spain",4.5,1,1,1,1,0,1,1,0,1,1,711.0,"Carrer d'Ataülf, 5, Barcelona",,41.38130160000001,2.178741,08002,Barri Gotic,Ciutat Vella
Cafeteria Restaurant Chusa,"Carrer de la Riera de Tena, 42, 08014 Barcelona, Spain",4.7,0,1,0,1,0,0,1,0,1,0,6.0,"Carrer de la Riera de Tena, 42, Barcelona",True,41.3719211,2.1336477,08014,La Bordeta - Les Corts,Sants - Montjuic
Bodega del Born,"C/ dels Mirallers, 15, 08003 Barcelona, Spain",4.8,0,1,0,1,0,0,0,0,1,1,618.0,"Carrer dels Mirallers, 15, Barcelona",,41.38385119999999,2.181632,08003,Barceloneta,Ciutat Vella
El Rebost d'Hostafrancs,"C/ de Béjar, 33, 08014 Barcelona, Spain",4.3,1,1,1,1,1,1,1,0,1,1,1801.0,"Carrer de Béjar, 33, Barcelona",True,41.3768338,2.14558,08014,La Bordeta - Les Corts,Sants - Montjuic
EL BON GUST,"Carrer de les Corts, 08028 Barcelona, Spain",4.0,0,1,1,1,0,1,1,0,1,1,51.0,"Carrer de les Corts, Barcelona",,41.38550439999999,2.1287506,08028,Les Corts,Les Corts
Gelida,"C/ de la Diputació, 133, 08015 Barcelona, Spain",4.5,0,1,0,1,1,1,1,0,1,1,3283.0,"Carrer de la Diputació, 133, Barcelona",True,41.382959,2.1569906,08015,Nova Esquerra Exiample - Sant Antoni,Eixample
IKKI Bar,"C. de Cabanes, 23, 08004 Barcelona, Spain",4.5,0,1,1,1,1,1,1,1,1,1,442.0,"Carrer de Cabanes, 23, Barcelona",False,41.37317780000001,2.1701924,08004,Poble Sec,Sants - Montjuic
Tapeo Gràcia | Barcelona,"Carrer del Topazi, 8, 08012 Barcelona, Spain",4.5,0,1,1,1,0,1,1,0,1,1,966.0,"Carrer del Topazi, 8, Barcelona",True,41.4045574,2.1554541,08012,Vila de Gracia,Gracia
Taperia Catalana,"Gran Via de les Corts Catalanes, 682, 08010 Barcelona, Spain",4.9,0,1,1,1,0,1,1,0,1,1,18.0,"Gran Via de les Corts Catalanes, 682, Barcelona",True,41.3926439,2.173062,08010,Dreta Eixample,Eixample
Farga,"Av. Diagonal, 391, 08008 Barcelona, Spain",3.8,1,1,1,1,1,1,1,0,1,1,1854.0,"Avinguda Diagonal, 391, Barcelona",True,41.39591559999999,2.1580594,08008,Antiga Esquerra Eixample,Eixample
"""Las mañanitas mexicanas""","Gran via 144 local 5 (entre plaza Cerdá y La Campana, 08038 Barcelona, Spain",,0,1,0,0,0,0,0,0,1,0,,"Gran via 144 local 5 (entre plaza Cerdá y La Campana, Barcelona",,41.3636056,2.1523914,08038,Montjuic,Sants - Montjuic
Bodega La Riera,"Av. de Vallcarca, 81, 08023 Barcelona, Spain",4.4,0,1,0,1,0,0,0,0,1,1,792.0,"Avinguda de Vallcarca, 81, Barcelona",True,41.41061,2.1464388,08023,El Coll,Gracia
Bar Restaurante Carlos III,"Gran Via de Carles III, 21, 08028 Barcelona, Spain",4.1,1,1,0,1,0,0,1,0,1,1,45.0,"Gran Via de Carles III, 21, Barcelona",,41.38070639999999,2.1284041,08028,Les Corts,Les Corts
Restaurante cava fumada,"C/ de l'Atlàntida, 41, 27, 08003 Barcelona, Spain",,0,1,0,0,0,0,0,0,0,0,,"Carrer de l'Atlàntida, 41, 27, Barcelona",,41.3805608,2.1893598,08003,Barceloneta,Ciutat Vella
El Brases,"C/ de València, 589, 08026 Barcelona, Spain",4.8,0,1,1,1,0,1,1,0,1,1,134.0,"Carrer de València, 589, Barcelona",True,41.4089231,2.1847721,08026,Camp de l'arpa,Sant Marti
